A_LANGUAGE	A_ANIMATE	A_BLACK	A_BLUE	A_CRESCENT	A_GOLD	A_GREEN	A_ICON	A_LANMASS	A_ORANGE	A_RED	A_RELIGION	A_TEXT	A_TRIANGLE	A_WHITE	A_ZONE	AREA	BARS	CIRCLES	COLOURS	CROSSES	MAINHUE	POPULATION	QUARTERS	SALTIRES	STRIPES	SUNSTARS	TOPLEFT	BOTHRIGHT	NAME
English	no	no	yes	no	yes	yes	no	Africa	no	no	Ethnic	no	no	yes	NE	623	1	0	5	0	gold	2	0	0	0	1	blue	gold	Central-African-Republic
French	no	no	yes	no	yes	no	no	Africa	no	no	Ethnic	no	no	no	NE	1284	3	0	3	0	gold	4	0	0	0	0	blue	red	Chad
Spanish	no	no	yes	no	no	no	no	S.America	no	no	Catholic	no	no	yes	SW	757	0	0	3	0	red	11	1	0	2	1	blue	red	Chile
Chinese	no	no	no	no	yes	no	no	Asia	no	no	Marxist	no	no	no	NE	9561	0	0	2	0	red	1008	0	0	0	5	red	red	China
Spanish	no	no	yes	no	yes	no	no	S.America	no	no	Catholic	no	no	no	NW	1139	0	0	3	0	gold	28	0	0	3	0	gold	red	Colombia
French	no	no	no	yes	no	yes	no	Africa	no	yes	Muslim	no	no	yes	SE	2	0	0	2	0	green	0	0	0	0	4	green	green	Comorro-Islands
English	yes	no	no	no	yes	yes	yes	Africa	no	no	Ethnic	no	no	no	SE	342	0	0	3	0	red	2	0	0	0	1	red	red	Congo
English	no	no	yes	no	no	no	no	Oceania	no	no	Christian	no	no	yes	SW	0	0	1	4	1	blue	0	1	1	0	15	white	blue	Cook-Islands
Spanish	no	no	yes	no	no	no	no	N.America	no	no	Catholic	no	no	yes	NW	51	0	0	3	0	blue	2	0	0	5	0	blue	blue	Costa-Rica
Spanish	no	no	yes	no	no	no	no	N.America	no	no	Marxist	no	yes	yes	NW	115	0	0	3	0	blue	10	0	0	5	1	blue	blue	Cuba
Other-Indo-European	yes	no	no	no	yes	yes	yes	Europe	no	yes	Christian	no	no	yes	NE	9	0	0	3	0	white	1	0	0	0	0	white	white	Cyprus
Slavic	no	no	yes	no	no	no	no	Europe	no	no	Marxist	no	yes	yes	NE	128	0	0	3	0	white	15	0	0	0	0	white	red	Czechoslovakia
Other-Indo-European	no	no	no	no	no	no	no	Europe	no	no	Christian	no	no	yes	NE	43	0	0	2	1	red	5	0	0	0	0	red	red	Denmark
French	no	no	yes	no	no	yes	no	Africa	no	no	Muslim	no	yes	yes	NE	22	0	0	4	0	blue	0	0	0	0	1	white	green	Djibouti
English	yes	yes	yes	no	yes	yes	no	N.America	no	no	Christian	no	no	yes	NW	0	0	1	6	0	green	0	0	0	0	10	green	green	Dominica
Spanish	no	no	yes	no	no	no	no	N.America	no	no	Catholic	no	no	yes	NW	49	0	0	3	1	blue	6	0	0	0	0	blue	blue	Dominican-Republic
Spanish	no	no	yes	no	yes	no	no	S.America	no	no	Catholic	no	no	no	SW	284	0	0	3	0	gold	8	0	0	3	0	gold	red	Ecuador
Arabic	yes	yes	no	no	yes	no	no	Africa	no	no	Muslim	yes	no	yes	NE	1001	0	0	4	0	black	47	0	0	3	0	red	black	Egypt
Spanish	no	no	yes	no	no	no	no	N.America	no	yes	Catholic	no	no	yes	NW	21	0	0	2	0	blue	5	0	0	3	0	blue	blue	El-Salvador
English	no	no	yes	no	no	yes	no	Africa	no	no	Ethnic	no	yes	yes	NE	28	0	0	4	0	green	0	0	0	3	0	green	red	Equatorial-Guinea
English	no	no	no	no	yes	yes	no	Africa	no	no	Christian	no	no	no	NE	1222	0	0	3	0	green	31	0	0	3	0	green	red	Ethiopia
Other-Indo-European	no	no	yes	no	no	no	no	Europe	no	no	Christian	no	no	yes	NW	1	0	0	3	1	white	0	0	0	0	0	white	white	Faeroes
English	yes	no	yes	no	yes	yes	yes	S.America	no	no	Christian	yes	no	yes	SW	12	0	1	6	1	blue	0	1	1	0	0	white	blue	Falklands-Malvinas
English	yes	no	yes	no	yes	yes	yes	Oceania	yes	no	Christian	no	no	yes	SE	18	0	0	7	2	blue	1	1	1	0	0	white	blue	Fiji
Japanese/Turkish	no	no	yes	no	no	no	no	Europe	no	yes	Christian	no	no	yes	NE	337	0	0	2	1	white	5	0	0	0	0	white	white	Finland
French	no	no	yes	no	no	no	no	Europe	no	no	Catholic	no	no	yes	NE	547	3	0	3	0	white	54	0	0	0	0	blue	red	France
French	no	no	yes	no	no	no	no	S.America	no	no	Catholic	no	no	yes	NW	91	3	0	3	0	white	0	0	0	0	0	blue	red	French-Guiana
French	no	yes	yes	no	yes	no	yes	Oceania	no	no	Catholic	no	no	yes	SW	4	0	1	5	0	red	0	0	0	3	1	red	red	French-Polynesia
English	no	no	yes	no	yes	yes	no	Africa	no	yes	Ethnic	no	no	no	SE	268	0	0	3	0	green	1	0	0	3	0	green	blue	Gabon
English	no	no	yes	no	no	yes	no	Africa	no	no	Ethnic	no	no	yes	NW	10	0	0	4	0	red	1	0	0	5	0	red	green	Gambia
German	no	yes	no	no	yes	no	yes	Europe	no	no	Marxist	no	no	no	NE	108	0	0	3	0	gold	17	0	0	3	0	black	gold	Germany-DDR
German	no	yes	no	no	yes	no	no	Europe	no	no	Christian	no	no	no	NE	249	0	0	3	0	black	61	0	0	3	0	black	gold	Germany-FRG
English	no	yes	no	no	yes	yes	no	Africa	no	no	Ethnic	no	no	no	NW	239	0	0	4	0	red	14	0	0	3	1	red	green	Ghana
English	no	no	no	no	yes	no	yes	Europe	no	no	Christian	no	no	yes	NW	0	0	0	3	0	white	0	0	0	1	0	white	red	Gibraltar
Other-Indo-European	no	no	yes	no	no	no	no	Europe	no	yes	Christian	no	no	yes	NE	132	0	0	2	1	blue	10	1	0	9	0	blue	blue	Greece
Other-Indo-European	no	no	no	no	no	no	no	N.America	no	no	Christian	no	no	yes	NW	2176	0	1	2	0	white	0	0	0	0	0	white	red	Greenland
English	yes	no	no	no	yes	yes	no	N.America	no	no	Christian	no	yes	no	NW	0	0	1	3	0	gold	0	0	0	0	7	red	red	Grenada
English	yes	no	yes	no	yes	yes	yes	Oceania	yes	no	Christian	yes	no	yes	NE	0	0	0	7	0	blue	0	0	0	0	0	red	red	Guam
Spanish	no	no	yes	no	no	no	no	N.America	no	yes	Catholic	no	no	yes	NW	109	3	0	2	0	blue	8	0	0	0	0	blue	blue	Guatemala
French	no	no	no	no	yes	yes	no	Africa	no	no	Muslim	no	no	no	NW	246	3	0	3	0	gold	6	0	0	0	0	red	green	Guinea
Other-Indo-European	no	yes	no	no	yes	yes	no	Africa	no	no	Ethnic	no	no	no	NW	36	1	0	4	0	gold	1	0	0	2	1	red	green	Guinea-Bissau
English	no	yes	no	no	yes	yes	no	S.America	no	no	Hindu	no	yes	yes	NW	215	0	0	5	0	green	1	0	0	0	0	black	green	Guyana
French	no	yes	no	no	no	no	no	N.America	no	no	Catholic	no	no	no	NW	28	2	0	2	0	black	6	0	0	0	0	black	red	Haiti
Spanish	no	no	yes	no	no	no	no	N.America	no	yes	Catholic	no	no	yes	NW	112	0	0	2	0	blue	4	0	0	3	5	blue	blue	Honduras
Chinese	yes	no	yes	no	yes	yes	yes	Asia	yes	no	Buddhist	yes	no	yes	NE	1	0	1	6	1	blue	5	1	1	0	0	white	blue	Hong-Kong
Japanese/Turkish	no	no	no	no	no	yes	no	Europe	no	no	Marxist	no	no	yes	NE	93	0	0	3	0	red	11	0	0	3	0	red	green	Hungary
Other-Indo-European	no	no	yes	no	no	no	no	Europe	no	no	Christian	no	no	yes	NW	103	0	0	3	1	blue	0	0	0	0	0	blue	blue	Iceland
Other-Indo-European	no	no	yes	no	no	yes	yes	Asia	yes	yes	Hindu	no	no	yes	NE	3268	0	1	4	0	orange	684	0	0	3	0	orange	green	India
English	no	no	no	no	no	no	no	Oceania	no	no	Muslim	no	no	yes	SE	1904	0	0	2	0	red	157	0	0	2	0	red	white	Indonesia
Other-Indo-European	no	no	no	no	no	yes	yes	Asia	no	no	Muslim	yes	no	yes	NE	1648	0	0	3	0	red	39	0	0	3	0	green	red	Iran
Arabic	no	yes	no	no	no	yes	no	Asia	no	no	Muslim	no	no	yes	NE	435	0	0	4	0	red	14	0	0	3	3	red	black	Iraq
English	no	no	no	no	no	yes	no	Europe	yes	yes	Catholic	no	no	yes	NW	70	3	0	3	0	white	3	0	0	0	0	green	orange	Ireland
English	no	no	yes	no	no	no	no	Asia	no	yes	Others	no	no	yes	NE	21	0	0	2	0	white	4	0	0	2	1	blue	blue	Israel
Other-Indo-European	no	no	no	no	no	yes	no	Europe	no	no	Catholic	no	no	yes	NE	301	3	0	3	0	white	57	0	0	0	0	green	red	Italy
French	no	no	no	no	no	yes	no	Africa	no	no	Ethnic	no	no	yes	NW	323	3	0	3	0	white	7	0	0	0	0	red	green	Ivory-Coast
English	no	yes	no	no	yes	yes	no	N.America	no	yes	Christian	no	yes	no	NW	11	0	0	3	0	green	2	0	1	0	0	gold	gold	Jamaica
Japanese/Turkish	no	no	no	no	no	no	no	Asia	no	no	Others	no	no	yes	NE	372	0	1	2	0	white	118	0	0	0	1	white	white	Japan
Arabic	no	yes	no	no	no	yes	no	Asia	no	no	Muslim	no	yes	yes	NE	98	0	0	4	0	black	2	0	0	3	1	black	green	Jordan
English	no	no	no	no	yes	no	yes	Asia	no	no	Buddhist	no	no	no	NE	181	0	0	2	0	red	6	0	0	0	0	red	red	Kampuchea
English	no	yes	no	no	no	yes	yes	Africa	no	no	Ethnic	no	no	yes	NE	583	0	1	4	0	red	17	0	0	5	0	black	green	Kenya
English	yes	no	yes	no	yes	no	yes	Oceania	no	no	Christian	no	no	yes	NE	0	0	0	4	0	red	0	0	0	0	1	red	blue	Kiribati
Arabic	no	yes	no	no	no	yes	no	Asia	no	no	Muslim	no	no	yes	NE	18	0	0	4	0	green	2	0	0	3	0	green	red	Kuwait
English	no	no	yes	no	no	no	no	Asia	no	no	Marxist	no	no	yes	NE	236	0	1	3	0	red	3	0	0	3	0	red	red	Laos
Arabic	yes	no	no	no	no	yes	no	Asia	yes	no	Muslim	no	no	yes	NE	10	0	0	4	0	red	3	0	0	2	0	red	red	Lebanon
English	no	no	yes	no	no	yes	yes	Africa	no	no	Ethnic	no	no	yes	SE	30	2	0	4	0	blue	1	0	0	0	0	green	blue	Lesotho
English	no	no	yes	no	no	no	no	Africa	no	no	Ethnic	no	no	yes	NW	111	0	0	3	0	red	1	1	0	11	1	blue	red	Liberia
Arabic	no	no	no	no	no	yes	no	Africa	no	yes	Muslim	no	no	no	NE	1760	0	0	1	0	green	3	0	0	0	0	green	green	Libya
German	no	no	yes	no	yes	no	yes	Europe	no	no	Catholic	no	no	no	NE	0	0	0	3	0	red	0	0	0	2	0	blue	red	Liechtenstein
German	no	no	yes	no	no	no	no	Europe	no	no	Catholic	no	no	yes	NE	3	0	0	3	0	red	0	0	0	3	0	red	blue	Luxembourg
English	no	no	no	no	no	yes	no	Africa	no	no	Christian	no	no	yes	SE	587	1	0	3	0	red	9	0	0	2	0	white	green	Malagasy
English	no	yes	no	no	no	yes	no	Africa	no	no	Ethnic	no	no	no	SE	118	0	0	3	0	red	6	0	0	3	1	black	green	Malawi
English	no	no	yes	yes	yes	no	no	Asia	no	no	Muslim	no	no	yes	NE	333	0	0	4	0	red	13	1	0	14	1	blue	white	Malaysia
English	no	no	no	yes	no	yes	no	Asia	no	no	Muslim	no	no	yes	NE	0	0	0	3	0	red	0	0	0	0	0	red	red	Maldive-Islands
French	no	no	no	no	yes	yes	no	Africa	no	no	Muslim	no	no	no	NW	1240	3	0	3	0	gold	7	0	0	0	0	green	red	Mali
English	no	yes	no	no	no	no	yes	Europe	no	no	Catholic	no	no	yes	NE	0	2	0	3	1	red	0	0	0	0	0	white	red	Malta
English	no	no	yes	no	no	no	yes	Oceania	no	yes	Christian	no	no	yes	NE	0	0	0	3	0	blue	0	0	0	0	1	blue	blue	Marianas
Arabic	no	no	no	yes	yes	yes	no	Africa	no	yes	Muslim	no	no	no	NW	1031	0	0	2	0	green	2	0	0	0	1	green	green	Mauritania
English	no	no	yes	no	yes	yes	no	Africa	no	no	Hindu	no	no	no	SE	2	0	0	4	0	red	1	0	0	4	0	red	green	Mauritius
Spanish	yes	no	no	no	no	yes	no	N.America	yes	no	Catholic	no	no	yes	NW	1973	3	0	4	0	green	77	0	0	0	0	green	red	Mexico
English	no	no	yes	no	no	no	no	Oceania	no	yes	Christian	no	no	yes	NE	1	0	0	2	0	blue	0	0	0	0	4	blue	blue	Micronesia
French	no	no	no	no	no	no	no	Europe	no	no	Catholic	no	no	yes	NE	0	0	0	2	0	red	0	0	0	2	0	red	white	Monaco
English	no	no	yes	yes	yes	no	yes	Asia	no	no	Marxist	no	yes	no	NE	1566	3	2	3	0	red	2	0	0	0	1	red	red	Mongolia
English	yes	yes	yes	no	yes	yes	yes	N.America	no	no	Christian	no	no	yes	NW	0	0	0	7	2	blue	0	1	1	0	0	white	blue	Montserrat
Arabic	no	no	no	no	no	yes	no	Africa	no	no	Muslim	no	no	no	NW	447	0	0	2	0	red	20	0	0	0	1	red	red	Morocco
English	no	yes	no	no	yes	yes	yes	Africa	no	no	Ethnic	no	yes	yes	SE	783	0	0	5	0	gold	12	0	0	5	1	green	gold	Mozambique
English	no	no	yes	no	yes	no	no	Oceania	no	yes	Christian	no	no	yes	SE	0	0	0	3	0	blue	0	0	0	3	1	blue	blue	Nauru
English	no	no	yes	yes	no	no	no	Asia	yes	yes	Hindu	no	no	yes	NE	140	0	0	3	0	brown	16	0	0	0	2	blue	blue	Nepal
Other-Indo-European	no	no	yes	no	no	no	no	Europe	no	no	Christian	no	no	yes	NE	41	0	0	3	0	red	14	0	0	3	0	red	blue	Netherlands
Other-Indo-European	no	no	yes	no	no	no	no	N.America	no	no	Christian	no	no	yes	NW	0	0	0	3	0	white	0	0	0	1	6	white	white	Netherlands-Antilles
English	no	no	yes	no	no	no	no	Oceania	no	no	Christian	no	no	yes	SE	268	0	0	3	1	blue	2	1	1	0	4	white	blue	New-Zealand
Spanish	no	no	yes	no	no	no	no	N.America	no	yes	Catholic	no	no	yes	NW	128	0	0	2	0	blue	3	0	0	3	0	blue	blue	Nicaragua
French	no	no	no	no	no	yes	no	Africa	yes	yes	Muslim	no	no	yes	NE	1267	0	1	3	0	orange	5	0	0	3	0	orange	green	Niger
English	no	no	no	no	no	yes	no	Africa	no	yes	Muslim	no	no	yes	NE	925	3	0	2	0	green	56	0	0	0	0	green	green	Nigeria
English	no	no	yes	no	yes	no	no	Oceania	no	no	Christian	no	no	yes	SW	0	0	1	4	1	gold	0	1	1	0	5	white	gold	Niue
English	no	no	yes	no	no	no	no	Asia	no	no	Marxist	no	no	yes	NE	121	0	1	3	0	blue	18	0	0	5	1	blue	blue	North-Korea
Arabic	no	yes	no	no	no	yes	no	Asia	no	no	Muslim	no	no	yes	NE	195	0	0	4	0	red	9	0	0	3	1	red	black	North-Yemen
Other-Indo-European	no	no	yes	no	no	no	no	Europe	no	no	Christian	no	no	yes	NE	324	0	0	3	1	red	4	0	0	0	0	red	red	Norway
Arabic	no	no	no	no	no	yes	yes	Asia	no	no	Muslim	no	no	yes	NE	212	0	0	3	0	red	1	0	0	2	0	red	green	Oman
Other-Indo-European	no	no	no	yes	no	yes	no	Asia	no	yes	Muslim	no	no	yes	NE	804	1	0	2	0	green	84	0	0	0	1	white	green	Pakistan
Spanish	no	no	yes	no	no	no	no	S.America	no	no	Catholic	no	no	yes	NW	76	0	0	3	0	red	2	4	0	0	2	white	white	Panama
English	yes	yes	no	no	yes	no	no	Oceania	no	no	Ethnic	no	yes	yes	SE	463	0	0	4	0	black	3	0	0	0	5	red	black	Papua-New-Guinea
Spanish	yes	yes	yes	no	yes	yes	yes	S.America	no	no	Catholic	yes	no	yes	SW	407	0	1	6	0	red	3	0	0	3	1	red	blue	Parguay
Spanish	no	no	no	no	no	no	no	S.America	no	no	Catholic	no	no	yes	SW	1285	3	0	2	0	red	14	0	0	0	0	red	red	Peru
English	no	no	yes	no	yes	no	no	Oceania	no	no	Catholic	no	yes	yes	NE	300	0	0	4	0	blue	48	0	0	0	4	blue	red	Philippines
Slavic	no	no	no	no	no	no	no	Europe	no	no	Marxist	no	no	yes	NE	313	0	0	2	0	white	36	0	0	2	0	white	red	Poland
Other-Indo-European	no	no	yes	no	yes	yes	yes	Europe	no	no	Catholic	no	no	yes	NW	92	0	1	5	0	red	10	0	0	0	0	green	red	Portugal
Spanish	no	no	yes	no	no	no	no	N.America	no	no	Catholic	no	yes	yes	NW	9	0	0	3	0	red	3	0	0	5	1	red	red	Puerto-Rico
Arabic	no	no	no	no	no	no	no	Asia	yes	yes	Muslim	no	no	yes	NE	11	0	0	2	0	brown	0	0	0	0	0	white	brown	Qatar
Other-Indo-European	yes	no	yes	no	yes	yes	yes	Europe	yes	no	Marxist	yes	no	yes	NE	237	3	0	7	0	red	22	0	0	0	2	blue	red	Romania
English	no	yes	no	no	yes	yes	no	Africa	no	no	Ethnic	yes	no	no	SE	26	3	0	4	0	red	5	0	0	0	0	red	green	Rwanda
Other-Indo-European	no	no	yes	no	no	no	no	Europe	no	yes	Catholic	no	no	yes	NE	0	0	0	2	0	white	0	0	0	2	0	white	blue	San-Marino
Other-Indo-European	no	yes	no	no	yes	yes	no	Africa	no	no	Catholic	no	yes	no	NE	0	0	0	4	0	green	0	0	0	3	2	green	green	Sao-Tome
Arabic	no	no	no	no	no	yes	yes	Asia	no	yes	Muslim	yes	no	yes	NE	2150	0	0	2	0	green	9	0	0	0	0	green	green	Saudi-Arabia
French	no	no	no	no	yes	yes	no	Africa	no	no	Muslim	no	no	no	NW	196	3	0	3	0	green	6	0	0	0	1	green	red	Senegal
English	no	no	no	no	no	yes	no	Africa	no	no	Christian	no	no	yes	SE	0	0	0	3	0	red	0	0	0	0	0	red	green	Seychelles
English	no	no	yes	no	no	yes	no	Africa	no	yes	Ethnic	no	no	yes	NW	72	0	0	3	0	green	3	0	0	3	0	green	blue	Sierra-Leone
Chinese	no	no	no	yes	no	no	no	Asia	no	no	Buddhist	no	no	yes	NE	1	0	0	2	0	white	3	0	0	2	5	red	white	Singapore
English	no	no	yes	no	yes	yes	no	Oceania	no	yes	Christian	no	yes	yes	SE	30	0	0	4	0	green	0	0	0	0	5	blue	green	Soloman-Islands
English	no	no	yes	no	no	no	no	Africa	no	yes	Muslim	no	no	yes	NE	637	0	0	2	0	blue	5	0	0	0	1	blue	blue	Somalia
Other-Indo-European	no	no	yes	no	no	yes	no	Africa	yes	no	Christian	no	no	yes	SE	1221	0	0	5	1	orange	29	0	1	3	0	orange	blue	South-Africa
English	no	yes	yes	no	no	no	yes	Asia	no	no	Others	no	no	yes	NE	99	0	1	4	0	white	39	0	0	0	0	white	white	South-Korea
Arabic	no	yes	yes	no	no	no	no	Asia	no	no	Muslim	no	yes	yes	NE	288	0	0	4	0	red	2	0	0	3	1	red	black	South-Yemen
Spanish	no	no	no	no	yes	no	no	Europe	no	no	Catholic	no	no	no	NW	505	0	0	2	0	red	38	0	0	3	0	red	red	Spain
English	yes	no	no	no	yes	yes	yes	Asia	yes	yes	Buddhist	no	no	no	NE	66	2	0	4	0	gold	15	0	0	0	0	gold	gold	Sri-Lanka
English	no	no	yes	no	yes	yes	yes	Africa	yes	no	Christian	no	no	yes	SW	0	0	0	7	1	blue	0	1	1	0	0	white	blue	St-Helena
English	no	yes	no	no	yes	yes	no	N.America	no	no	Christian	no	yes	yes	NW	0	0	0	5	0	green	0	0	0	0	2	green	red	St-Kitts-Nevis
English	no	yes	yes	no	yes	no	no	N.America	no	yes	Christian	no	yes	yes	NW	0	0	0	4	0	blue	0	0	0	0	0	blue	blue	St-Lucia
English	yes	no	yes	no	yes	yes	yes	N.America	no	yes	Christian	yes	no	yes	NW	0	5	0	4	0	green	0	0	0	0	0	blue	green	St-Vincent
Arabic	no	yes	no	no	no	yes	no	Africa	no	no	Muslim	no	yes	yes	NE	2506	0	0	4	0	red	20	0	0	3	0	red	black	Sudan
Other-Indo-European	no	no	no	no	yes	yes	no	S.America	no	no	Christian	no	no	yes	NW	63	0	0	4	0	red	0	0	0	5	1	green	green	Surinam
English	no	yes	yes	no	yes	no	yes	Africa	yes	no	Christian	no	no	yes	SE	17	0	0	7	0	blue	1	0	0	5	0	blue	blue	Swaziland
Other-Indo-European	no	no	yes	no	yes	no	no	Europe	no	yes	Christian	no	no	no	NE	450	0	0	2	1	blue	8	0	0	0	0	blue	blue	Sweden
German	no	no	no	no	no	no	no	Europe	no	no	Christian	no	no	yes	NE	41	0	0	2	1	red	6	0	0	0	0	red	red	Switzerland
Arabic	no	yes	no	no	no	yes	no	Asia	no	no	Muslim	no	no	yes	NE	185	0	0	4	0	red	10	0	0	3	2	red	black	Syria
Chinese	no	no	yes	no	no	no	no	Asia	no	no	Buddhist	no	no	yes	NE	36	0	1	3	0	red	18	1	0	0	1	blue	red	Taiwan
English	no	yes	yes	no	yes	yes	no	Africa	no	yes	Ethnic	no	yes	no	SE	945	0	0	4	0	green	18	0	0	0	0	green	blue	Tanzania
English	no	no	yes	no	no	no	no	Asia	no	no	Buddhist	no	no	yes	NE	514	0	0	3	0	red	49	0	0	5	0	red	red	Thailand
French	no	no	no	no	yes	yes	no	Africa	no	no	Others	no	no	yes	NE	57	0	0	4	0	green	2	1	0	5	1	red	green	Togo
English	no	no	no	no	no	no	no	Oceania	no	no	Christian	no	no	yes	SE	1	0	0	2	1	red	0	1	0	0	0	white	red	Tonga
English	no	yes	no	no	no	no	no	S.America	no	no	Christian	no	yes	yes	NW	5	0	0	3	0	red	1	0	0	0	0	white	white	Trinidad-Tobago
Arabic	no	no	no	yes	no	no	no	Africa	no	no	Muslim	no	no	yes	NE	164	0	1	2	0	red	7	0	0	0	1	red	red	Tunisia
Japanese/Turkish	no	no	no	yes	no	no	no	Asia	no	no	Muslim	no	no	yes	NE	781	0	0	2	0	red	45	0	0	0	1	red	red	Turkey
English	yes	no	yes	no	yes	yes	yes	N.America	yes	no	Christian	no	no	yes	NW	0	0	0	6	1	blue	0	1	1	0	0	white	blue	Turks-Cocos-Islands
